Flow_from_user,Flow_to_user,flow
1901anupam,ModiBharosa,1
1985jay,shilpakannan,1
1986anilshukla,gauravcsawant,1
1997INDIAN,ajtnegi,-1
19sbs,HumorMinistry,1
1azharqureshi,DrKumarVishwas,1
1businessrule,hi_paresh,1
1dharmma,rahulroushan,1
1karnareddy,SanklechaD,1
1karnareddy,ShefVaidya,1
1lbz1,morphonios,1
1ojas,_MiteshPatel,1
1Patelzuber,3a6a51b16534495,-1
1Patelzuber,afzalkhaniyc,-1
1Patelzuber,anchanlata,-1
1Patelzuber,annu_philip,-1
1Patelzuber,ashfaque156,-1
1Patelzuber,delhiite_ggn,-1
1Patelzuber,farahishabina,-1
1Patelzuber,furkansayed1,-1
1Patelzuber,gops333,-1
1Patelzuber,husainghw,-1
1Patelzuber,manish_manisja,-1
1Patelzuber,mikedesai,-1
1Patelzuber,mintyghost,-1
1Patelzuber,patelsarfaraz68,-1
1Patelzuber,prabhakarup1,-1
1Patelzuber,richasharma0971,-1
1Patelzuber,sabnis_atmaram,-1
1Patelzuber,sameer470,-1
1Patelzuber,shabrawmk1,-1
1Patelzuber,shyamlalaggarw1,-1
1Patelzuber,tanim0104,-1
1Patelzuber,zuber2712,-1
1shaktiman,YesIamSaffron,1
1sunnyelias,RNTata2000,1
2020katy2020,UrjitPatelRBI,1
2023ajith,ashu3page,1
2023ajith,Hemant_80,1
2023ajith,Joydas,1
2181viral,PiyushGoyalOffc,1
21century_kant,URautelaForever,1
250praveen,rahulroushan,1
250praveen,RitikaSpeaks,1
26arnavsagar,thaneinfo,1
27a41de2a89b454,rssurjewala,1
27a41de2a89b454,ShashiTharoor,1
27amit,barbarindian,1
2ankitparmar,5Forty3,1
2coldcoronas,Timcast,1
30vineet,ashu3page,1
3101gp,centerofright,1
311mg,gauravcsawant,1
34a5912609794c8,ModiBharosa,1
38jalpa,_MiteshPatel,1
3a6a51b16534495,1Patelzuber,1
3idiotsj,URautelaForever,1
3tweetsis1poem,Bhartiya_Invest,1
4_everabhi,ModiBharosa,1
42pi,5Forty3,1
44ashish33,sri50,1
454rock,AKOUL4774,1
4bhi9,5Forty3,1
4bhi9,AskAnshul,1
4bhi9,muglikar_,1
4bhi9,rahulroushan,1
4h_treyu,BajajAllianzLIC,1
4mlvodka,n1rajkumar,-1
4mypeers,JustinSandefur,1
4ngeezy__,BajajAllianzLIC,1
4ushashishekhar,DipendraDipzo,1
4ushashishekhar,ippatel,1
4ushashishekhar,Punitspeaks,1
500urvashi,_MiteshPatel,1
500urvashi,AAPVind,1
500urvashi,jamewils,1
500urvashi,kamaaaa6,1
5500bhupi,ModiBharosa,1
56perumal,akg316arvind,-1
56perumal,centerofright,1
56perumal,Joydeep_911,1
56perumal,kanimozhi,1
56perumal,ModiBharosa,1
59_moss,SimonDixonTwitt,1
593dbc0a0b54405,AskAnshul,1
5Forty3,_ashim__,-1
5Forty3,_flamboyant_,-1
5Forty3,_sayta,-1
5Forty3,0807ankit,-1
5Forty3,2ankitparmar,-1
5Forty3,42pi,-1
5Forty3,4bhi9,-1
5Forty3,a31x64vijay,-1
5Forty3,abhi_cali,-1
5Forty3,abhishe26342097,-1
5Forty3,acmatixjoshi,-1
5Forty3,aditya5bahl,-1
5Forty3,aggarwaltc,-1
5Forty3,ajeetj_20,-1
5Forty3,akbaripa72,-1
5Forty3,akhaip,-1
5Forty3,amaradma,-1
5Forty3,amitamisra,-1
5Forty3,amrishguru,-1
5Forty3,amritrajp,-1
5Forty3,an___d,-1
5Forty3,anondomotth,-1
5Forty3,anoopmenon9,-1
5Forty3,anshurathore99,-1
5Forty3,anunayiitb,-1
5Forty3,aravndkr,-1
5Forty3,arorasid,-1
5Forty3,arunabh_ch,-1
5Forty3,arunlinux,-1
5Forty3,arvind_barmer,-1
5Forty3,ashishvr1,-1
5Forty3,atulmohan2,-1
5Forty3,avi_saxena,-1
5Forty3,ayamatmabrahm,-1
5Forty3,azuitshi,-1
5Forty3,balabr,-1
5Forty3,balamenon,-1
5Forty3,basuhan9,-1
5Forty3,bdash88,-1
5Forty3,bdonovan463,-1
5Forty3,bedantadutta5,-1
5Forty3,beingkdr,-1
5Forty3,berrymiraculous,-1
5Forty3,bharatpatel555,-1
5Forty3,bhartiyalist,-1
5Forty3,bhavadasnkm,-1
5Forty3,bhavesh_ambekar,-1
5Forty3,bigmouthspeaks,-1
5Forty3,bijunair20,-1
5Forty3,blackpantherui,-1
5Forty3,bleedsaffron_,-1
5Forty3,bonhomy,-1
5Forty3,chandan29071985,-1
5Forty3,chilkoti2,-1
5Forty3,chweeneytodd,-1
5Forty3,debdip00,-1
5Forty3,delhimuse,-1
5Forty3,desh_bhkt,-1
5Forty3,deshneeti,-1
5Forty3,desitechy,-1
5Forty3,deus_ex_demo,-1
5Forty3,dev_cmehta,-1
5Forty3,dhanuka_vikas,-1
5Forty3,dhruvbhim,-1
5Forty3,djgoodlook,-1
5Forty3,dravarma,-1
5Forty3,drsreerajvs,-1
5Forty3,ganapathyi,-1
5Forty3,gauravsuman2,-1
5Forty3,gdchh,-1
5Forty3,getridofdevils,-1
5Forty3,ghosh121,-1
5Forty3,gj12ankit,-1
5Forty3,go2sreenu,-1
5Forty3,gyanmarao,-1
5Forty3,harishkrcr,-1
5Forty3,harisinhbarad,-1
5Forty3,hariyanekachora,-1
5Forty3,iajkp,-1
5Forty3,iashvinsavaliya,-1
5Forty3,imanishj,-1
5Forty3,immihir_45,-1
5Forty3,india_somnath,-1
5Forty3,indianempire,-1
5Forty3,indianmonk1,-1
5Forty3,indomitablesoul,-1
5Forty3,ipratikshukla,-1
5Forty3,iyernbk,-1
5Forty3,jaidevjamwal,-1
5Forty3,jainamit81,-1
5Forty3,jaymin_37,-1
5Forty3,kaliahimanshu,-1
5Forty3,kamleshlahoti,-1
5Forty3,kapilnaren,-1
5Forty3,karanrajan,-1
5Forty3,karthiks_india,-1
5Forty3,kaushkrahul,-1
5Forty3,kishoreggk,-1
5Forty3,koolso,-1
5Forty3,koustubh1,-1
5Forty3,krbajithkumar,-1
5Forty3,kristanjore,-1
5Forty3,lalithkris,-1
5Forty3,lalithseetharam,-1
5Forty3,lamestest,-1
5Forty3,lastbench_,-1
5Forty3,librarulz,-1
5Forty3,lokkku,-1
5Forty3,ls2008,-1
5Forty3,madhav9nath1,-1
5Forty3,mahanteshneel,-1
5Forty3,mahendrachjoshi,-1
5Forty3,malapatiraja,-1
5Forty3,mandarsawant184,-1
5Forty3,manesha76,-1
5Forty3,maruharish,-1
5Forty3,mavericklg,-1
5Forty3,meetrosh1,-1
5Forty3,mehul_2506,-1
5Forty3,mihirkjha,-1
5Forty3,mihirmurthy,-1
5Forty3,mjayex,-1
5Forty3,modinaama,-1
5Forty3,monk_razr,-1
5Forty3,mriganka_t,-1
5Forty3,mshravank,-1
5Forty3,muki_jain,-1
5Forty3,mylovenamo,-1
5Forty3,namorulzz,-1
5Forty3,nanjeesha,-1
5Forty3,narendramodirss,-1
5Forty3,nareshdixit82,-1
5Forty3,nationalist1907,-1
5Forty3,nava_hindutva,-1
5Forty3,ndsolanki,-1
5Forty3,neelang_dave,-1
5Forty3,nischelbaxi,-1
5Forty3,nishantktr,-1
5Forty3,nitin_dembla,-1
5Forty3,nitinkapoor2020,-1
5Forty3,nshroff,-1
5Forty3,ntsocool1,-1
5Forty3,nzsuresh,-1
5Forty3,orgaquiq,-1
5Forty3,parantapaa,-1
5Forty3,patange_sunil,-1
5Forty3,patnaikt,-1
5Forty3,pkunk_,-1
5Forty3,point_blanc79,-1
5Forty3,pravbk100,-1
5Forty3,pritesh_kukadia,-1
5Forty3,r_bhambri,-1
5Forty3,racervin,-1
5Forty3,rajeevdash,-1
5Forty3,rajneesh_saini,-1
5Forty3,ramanmehta77,-1
5Forty3,ramrenuv,-1
5Forty3,raneeshramakris,-1
5Forty3,ratnanihitesh,-1
5Forty3,ravichilakala,-1
5Forty3,raviteja4uuu,-1
5Forty3,ravsd88,-1
5Forty3,rdx_ravindra,-1
5Forty3,rebelious230,-1
5Forty3,retweetkrengeab,-1
5Forty3,rishabh_arya95,-1
5Forty3,rishi_sri_29,-1
5Forty3,rmadhavan91,-1
5Forty3,rmdrao,-1
5Forty3,robinvarshney,-1
5Forty3,rohitagarwal86,-1
5Forty3,rrkchand,-1
5Forty3,rsrirams,-1
5Forty3,rsvasudevan,-1
5Forty3,sadhuvaad,-1
5Forty3,saiprasadreddyd,-1
5Forty3,sanil_manaktala,-1
5Forty3,sanjay_rai,-1
5Forty3,sanjay3356,-1
5Forty3,sanju859,-1
5Forty3,santoshiitbhu,-1
5Forty3,saumitra_j,-1
5Forty3,savitha_rao,-1
5Forty3,shaleenjain5,-1
5Forty3,shamil_shah,-1
5Forty3,shekar21,-1
5Forty3,shuddhadesi,-1
5Forty3,silentkill_004,-1
5Forty3,singpraveer,-1
5Forty3,smarty_in,-1
5Forty3,soodmonk,-1
5Forty3,sumitbajoria,-1
5Forty3,sundeepkpal,-1
5Forty3,supremeharish,-1
5Forty3,surendaradla,-1
5Forty3,swapniljagdale8,-1
5Forty3,tandon_abhinav,-1
5Forty3,thakurprashanth,-1
5Forty3,thiru_0914,-1
5Forty3,tishtriya,-1
5Forty3,tolerantdesii,-1
5Forty3,tulasidasrpai,-1
5Forty3,udaybjplotus,-1
5Forty3,udyan123,-1
5Forty3,urfriendroshan,-1
5Forty3,vaayumitra,-1
5Forty3,vaibhavg10,-1
5Forty3,vanderlust,-1
5Forty3,vardanatulshah,-1
5Forty3,vbnairmumbai,-1
5Forty3,vibhaas10,-1
5Forty3,vibhute_atharv,-1
5Forty3,vinodshadija,-1
5Forty3,vipulit,-1
5Forty3,virus4congress,-1
5Forty3,votenowindia,-1
5Forty3,whostruthanyway,-1
5Forty3,yaajushi,-1
5xnewx,MilanV,1
616476fbde873af,xglgu5obsw9j6xe,-1
68755f3377a8469,gauravcsawant,1
69b1b71236104d6,pGurus1,1
69bpl69,gauravcsawant,1
6b15055656184ea,rssurjewala,1
6b9574b803c1480,URautelaForever,1
6c20cdd298174c7,DrKumarVishwas,1
6d91f0b718ad479,ShirishKunder,1
6feac377b097423,URautelaForever,1
7374v,centerofright,1
76cffefa5a1c4e2,ModiBharosa,1
7ramreddy7ram,Ra_THORe,1
81_jignesh,_MiteshPatel,1
8177sonali,priyaakulkarni2,1
85_ritika,AdityaNair20,1
87_bansari,_MiteshPatel,1
870f4906f95f4d8,pGurus1,1
881977raju,ModiBharosa,1
8dilip,Atheist_Krishna,1
8dssoni,ModiBharosa,1
92165rahul,kanimozhi,1
943c39bb70b245e,ModiBharosa,1
9447653359,kanimozhi,1
97b63c4d534546d,KyaKaise,1
9845439969karan,ippatel,1
9auravk,URautelaForever,1
9u9gcg69l7kuu4k,DrGPradhan,1
9urusin9h,RoflGandhi_,1
a_barrera84,steve_hanke,1
a_hannan_ismail,SimonDixonTwitt,1
a_miglani,vbeachcomber,1
A_Observr,bharat_builder,-1
A_Observr,cpsingh_punjab,-1
a_p_75,Joydeep_911,1
a_sex_god,Timcast,1
a09ea2180ded422,gauravcsawant,1
a31x64vijay,5Forty3,1
a31x64vijay,pGurus1,1
a31x64vijay,SreeIyer1,1
a799612,gauravcsawant,1
aaanupriyaaa,_beinggaurav,-1
aaanupriyaaa,_bishal20_,-1
aaanupriyaaa,05apuuuuu,-1
aaanupriyaaa,aapabbidi,-1
aaanupriyaaa,abhinav5349,-1
aaanupriyaaa,adithgm,-1
aaanupriyaaa,antiboringagent,-1
aaanupriyaaa,aristidebancevu,-1
aaanupriyaaa,asmanksharma,-1
aaanupriyaaa,besties_buddy,-1
aaanupriyaaa,botbyrop,-1
aaanupriyaaa,botsaucin,-1
aaanupriyaaa,caarte_blanche,-1
aaanupriyaaa,definitwa1708,-1
aaanupriyaaa,devanganas3,-1
aaanupriyaaa,divyaszaika,-1
aaanupriyaaa,drkhushisharma,-1
aaanupriyaaa,duggu129,-1
aaanupriyaaa,dvital_,-1
aaanupriyaaa,dvkikh,-1
aaanupriyaaa,endofabhishek,-1
aaanupriyaaa,g_rohit19,-1
aaanupriyaaa,gargtarun1987,-1
aaanupriyaaa,himanshudixit01,-1
aaanupriyaaa,ikumar7,-1
aaanupriyaaa,imrahul_17,-1
aaanupriyaaa,imtarun1d,-1
aaanupriyaaa,iqbalintouch,-1
aaanupriyaaa,isatchit,-1
aaanupriyaaa,jaibhadra,-1
aaanupriyaaa,janagal_pooja,-1
aaanupriyaaa,jarvaruag,-1
aaanupriyaaa,jineshjain12,-1
aaanupriyaaa,kedari_rutuja,-1
aaanupriyaaa,krutik126,-1
aaanupriyaaa,lievantamillar,-1
aaanupriyaaa,manoharsingha,-1
aaanupriyaaa,me_arpank,-1
aaanupriyaaa,miister_h,-1
aaanupriyaaa,mynkkumar,-1
aaanupriyaaa,myselfpradeep_,-1
aaanupriyaaa,namratawrites,-1
aaanupriyaaa,nikhil2612,-1
aaanupriyaaa,nitin15500441,-1
aaanupriyaaa,nitintomarr,-1
aaanupriyaaa,nivalex28,-1
aaanupriyaaa,only_brain,-1
aaanupriyaaa,priyalkamli1394,-1
aaanupriyaaa,rkparadox,-1
aaanupriyaaa,rock__ram,-1
aaanupriyaaa,rs30081994,-1
aaanupriyaaa,russian_market,-1
aaanupriyaaa,sagar_23oct,-1
aaanupriyaaa,sahni_ritu,-1
aaanupriyaaa,sandywaves07,-1
aaanupriyaaa,sanjayjawalaji1,-1
aaanupriyaaa,shivanigaonkar2,-1
aaanupriyaaa,srb_bellu,-1
aaanupriyaaa,techie_aman,-1
aaanupriyaaa,the_kingonion,-1
aaanupriyaaa,thebonggirl,-1
aaanupriyaaa,thechutneyboy,-1
aaanupriyaaa,theidiotstory,-1
aaanupriyaaa,theofficialbhai,-1
aaanupriyaaa,theshaikh_,-1
aaanupriyaaa,thisweirdlyf,-1
aaanupriyaaa,uskiwhiskey,-1
aaanupriyaaa,vedants820,-1
aaanupriyaaa,vercovicium,-1
aaanupriyaaa,vivekpandey0927,-1
aabha110,MIB_India,1
aabha110,PIB_India,1
aackthu,DipendraDipzo,1
aadarsh8lunia,URautelaForever,1
aadhiseshu2,MIB_India,1
aadhiseshu2,PIB_India,1
aadil_muz,DrKumarVishwas,1
aadil07869,URautelaForever,1
aadilmim,kavita_krishnan,1
aadirajput2016,URautelaForever,1
aaditya793,MIB_India,1
aaditya793,PIB_India,1
aaditya810,MIB_India,1
aaditya810,PIB_India,1
aadityagautom,baruahrana123,-1
aadityagautom,chandrabasnet15,-1
aadityagautom,gdasbaruah,-1
aadityagautom,ghoshrupak6,-1
aadityagautom,thetruth0000001,-1
aaduaddy,URautelaForever,1
aahannya,gauravcsawant,1
aak_engine,URautelaForever,1
aakash1411verma,URautelaForever,1
aakashdwarkani,URautelaForever,1
aakashgauttam,URautelaForever,1
aakashhindocha,equity_focus,-1
aakhiri_salaam,ashu3page,1
aakuraj,DrGPradhan,1
aalamrangi,deep_anchor,1
aalbertjac,ChockBlain,1
aam_nationalist,ms_rana,1
aam_nationalist,nixxin,1
aam_nationalist,RoflGandhi_,1
aamaadmikesath,jamewils,1
AamAadmiParty,sahilma77068201,-1
aamadmy,AamAdmy,1
AamAdmy,aamadmy,-1
aamir209,jairajp,1
aamirian_dutta,URautelaForever,1
aamirkhan78,Dipankar_cpiml,1
aamirr_khannn,URautelaForever,1
aamirself,DrKumarVishwas,1
aaolion,harshkkapoor,1
aaolion,Joydeep_911,1
aap_jehanabad,aartic02,1
aap_neel,_MiteshPatel,1
aap_parvinder,DrKumarVishwas,1
aap_parvinder,SatyendarJain,1
aap_petlad,_MiteshPatel,1
aap_revolution_,RoflTeja,1
aap_updates,AAP_Updates,1
AAP_Updates,aap_updates,-1
aap2014kumar,ashu3page,1
aapabbidi,aaanupriyaaa,1
aapabbidi,Dr_SarithaAR,1
aapadarsh,ashu3page,1
aapakhi,anjaniward184,-1
aapakhi,DrKumarVishwas,1
aapbabbu,DrKumarVishwas,1
aapdelhincr,roshankar,1
aapdiwana,aartic02,1
aapdiwana,ashu3page,1
aapdiwana,DrKumarVishwas,1
aapgoa,DrKumarVishwas,1
aapgujvolunteer,_MiteshPatel,1
aaphadapsar,DrKumarVishwas,1
aapingoa,_MiteshPatel,1
aapjnp,aartic02,1
aapjnp,ashu3page,1
aapjnp,DrKumarVishwas,1
aapjnp,IndiaToday,1
aapka_rk,Hemant_80,1
aapkadonation,DrKumarVishwas,1
aapkamuzzammil,aartic02,1
aapkamuzzammil,ashu3page,1
aapkamuzzammil,MuzzammilAap,1
aapkarajiv,dhyani0709,-1
aapkarauf,ashu3page,1
aapkatejubhaiya,Atheist_Krishna,1
aapkegopalrai,attomeybharti,1
aapkiaawaaz,aartic02,1
aapkiaawaaz,ashu3page,1
aapkiaawaaz,DrKumarVishwas,1
aapkipalki,_MiteshPatel,1
aaplink,Joydas,1
aaplogical,aartic02,1
aaplogical,bharat_builder,1
aaplogical,DKMahant,1
aaplogical,jamewils,1
aaplogical,Joydas,1
aapmember,DrKumarVishwas,1
AAPNewsAlert,bharatparivrtan,-1
AAPNewsAlert,brijesh88220727,-1
AAPNewsAlert,gaganm12,-1
AAPNewsAlert,georgekurian4k,-1
AAPNewsAlert,guru9899,-1
AAPNewsAlert,ikumarashok,-1
AAPNewsAlert,jblovesindia,-1
AAPNewsAlert,kapilmudgal75,-1
AAPNewsAlert,lailafiaz,-1
AAPNewsAlert,mateenaap,-1
AAPNewsAlert,matram_vande,-1
AAPNewsAlert,mgmnair,-1
AAPNewsAlert,moinaltaf47,-1
AAPNewsAlert,muntaziraapka,-1
AAPNewsAlert,rajeshpilania4,-1
AAPNewsAlert,rajeshved36,-1
AAPNewsAlert,rajkovvali,-1
AAPNewsAlert,rkbahadur1,-1
AAPNewsAlert,shalminhere,-1
aaprevolutioncg,ashu3page,1
aapsolute,DrKumarVishwas,1
aaptimist_,Joydas,1
aapved,ashu3page,1
aapvind,_MiteshPatel,1
aapvind,Hemant_80,1
aapvind,Stupidosaur,1
AAPVind,500urvashi,-1
AAPVind,eagl3eye_,-1
AAPVind,iholycow,-1
AAPVind,ithetrollkiller,-1
AAPVind,kehkdsunga,-1
AAPVind,modi3rdclass,-1
AAPVind,sehgal_indian,-1
aarfakhanam,Shehzad_Ind,1
aarif787,jairajp,1
aarlcanob,BajajAllianzLIC,1
aarti_dvn,URautelaForever,1
aartic02,_mohdriyaz,-1
aartic02,aap_jehanabad,-1
aartic02,aapdiwana,-1
aartic02,aapjnp,-1
aartic02,aapkamuzzammil,-1
aartic02,aapkiaawaaz,-1
aartic02,aaplogical,-1
aartic02,achalk14,-1
aartic02,amitazad67,-1
aartic02,anilkmathur,-1
aartic02,babucrpfdelhi,-1
aartic02,beingayang,-1
aartic02,bharmalreturns,-1
aartic02,citizenspov,-1
aartic02,cmasureshpetkar,-1
aartic02,dangeo1982,-1
aartic02,dasmld,-1
aartic02,delhi_kapil,-1
aartic02,deveshthwal,-1
aartic02,dhruvrastogi04,-1
aartic02,dineshattresh,-1
aartic02,gamgrg,-1
aartic02,gr8india,-1
aartic02,guptanaveenji,-1
aartic02,ichirpy,-1
aartic02,imrankh23147478,-1
aartic02,indigokores,-1
aartic02,iraaajas,-1
aartic02,irsh888n,-1
aartic02,itwasnotme321,-1
aartic02,jhon23camp,-1
aartic02,kamlendrasingh3,-1
aartic02,kaurrjit,-1
aartic02,kishorforyou,-1
aartic02,kziya743,-1
aartic02,lovely_phaaji,-1
aartic02,malaykumargiri,-1
aartic02,malimpatel1,-1
aartic02,meerashah5,-1
aartic02,mrrdchavan,-1
aartic02,msuthar000,-1
aartic02,muzzammilaap,-1
aartic02,naveenbebra,-1
aartic02,ndb143,-1
aartic02,nsarika,-1
aartic02,osman_ali187,-1
aartic02,pavan_sethi,-1
aartic02,proudindian66,-1
aartic02,rajamel2107,-1
aartic02,ravindraathel,-1
aartic02,rizwanrizzzii,-1
aartic02,sandipcapt,-1
aartic02,sharadg287,-1
aartic02,shubhamaap,-1
aartic02,skneel1,-1
aartic02,sourabhjainiet,-1
aartic02,sreeharsha2015,-1
aartic02,sshail5455,-1
aartic02,sudhans49891901,-1
aartic02,sudhirreddy920,-1
aartic02,svaquas,-1
aartic02,tbshjml,-1
aartic02,vinita_agr,-1
aartic02,virdisharma,-1
aartic02,virkamu,-1
aartic02,yasirrehman02,-1
aartitikoo,gauravcsawant,1
AartiTikoo,akhilnairashok,-1
aarvee18,gauravcsawant,1
aarvee18,pGurus1,1
aarvee18,rahulroushan,1
AashaBisht,anil_chouksey,-1
aashay_sao,RoflGandhi_,1
aashish81us,Dmonetisation,1
aashish81us,Punitspeaks,1
aashish8294,CMOMaharashtra,1
aashishmisra,gauravcsawant,1
aashishrazdan,apllalkesh,-1
aashnamaurya,RoflGandhi_,1
aashupi,ashu3page,1
aashupi,RoflGandhi_,1
aashurawat8,URautelaForever,1
aashutoshsaraf1,URautelaForever,1
aashweenmay,ModiBharosa,1
aatali_2001,jairajp,1
aathiperinchery,gershwin93,1
aatorhooda,gauravcsawant,1
aawara_aatma,Hemant_80,1
aawara_aatma,ShashiTharoor,1
aawarajoker,URautelaForever,1
aawazindiaki,madskak,1
aayushitrivedi2,Nr_Shiralkar,1
aazaadparinda,Dipankar_cpiml,1
aazaadparinda,Joydas,1
aazaadparinda,rssurjewala,1
