"","X","Flow_from_user","Flow_to_user","flow"
"11006",11006,"_Narad","mkankunj",-1
"83",83,"_natasha_999","harshkkapoor",1
"85",85,"_nehabanu_","URautelaForever",1
"87",87,"_pallav13","URautelaForever",1
"89",89,"_prejudiced","Atheist_Krishna",1
"91",91,"_proud_indian_","gauravcsawant",1
"93",93,"_raimin__","URautelaForever",1
"95",95,"_raja_babu","gauravcsawant",1
"97",97,"_raja_babu","rupasubramanya",1
"99",99,"_rajatsharma","HumorMinistry",1
"101",101,"_rakeshdey","ModiBharosa",1
"103",103,"_ratnesh","coolfunnytshirt",1
"105",105,"_saurabhkishore","MIB_India",1
"107",107,"_sayta","5Forty3",1
"109",109,"_sh5un3","TheMehulPatel",1
"111",111,"_shamim7","RoflGandhi_",1
"113",113,"_sk2016","Janamejayan",1
"115",115,"_srinivasandra","JustinSandefur",1
"7468",7468,"_standupcentral","iimcomic",-1
"8970",8970,"_standupcentral","karthikvadde18",-1
"13872",13872,"_SwarajIndia","radheyshyamsin6",-1
"20346",20346,"_SwarajIndia","workingonnow",-1
"117",117,"_tejaschouhan","URautelaForever",1
"119",119,"_ursnaveen","RoflGandhi_",1
"121",121,"_vishal_mishra_","dna",1
"123",123,"_vtaar","priyaakulkarni2",1
"125",125,"_womaninattic","_WomanInAttic",1
"126",126,"_WomanInAttic","_womaninattic",-1
"8122",8122,"_YogendraYadav","jadav_m",-1
"127",127,"_yvonneburton","Lukewearechange",1
"129",129,"_zaalima","URautelaForever",1
"131",131,"_zayaan","rssurjewala",1
"133",133,"000hansa","ippatel",1
"135",135,"000mrs000","Atheist_Krishna",1
"137",137,"007_ammy","mkatju",1
"139",139,"007ajsaiyed","URautelaForever",1
"141",141,"007ekram","URautelaForever",1
"143",143,"01karn","parthology",1
"145",145,"02neeha","absolutethinker",1
"147",147,"05apuuuuu","aaanupriyaaa",1
"149",149,"06qlogk2bpnstkq","JPAL_Global",1
"151",151,"0786sartaj","PIB_India",1
"153",153,"0807ankit","5Forty3",1
"155",155,"0807ankit","jan14anurag",1
"157",157,"0807ankit","manijgd",1
"159",159,"0807ankit","pGurus1",1
"161",161,"0b28370da78a482","harshkkapoor",1
"163",163,"0yogen","gauravcsawant",1
"165",165,"10_rekha","_MiteshPatel",1
"167",167,"10anandrai","rssurjewala",1
"169",169,"11boms","_MiteshPatel",1
"171",171,"123mahendrainda","URautelaForever",1
"173",173,"123nida321","ShirishKunder",1
"175",175,"126_sonu","mahcongress",1
"177",177,"126sudhir","mahcongress",1
"179",179,"12anjusri","ShashiTharoor",1
"181",181,"13amit1313","DrKumarVishwas",1
"183",183,"16vpm","AdityaNair20",1
"185",185,"1824sphurthy","akpndy",1
"187",187,"1857penguin","sunil131415",1
"2894",2894,"18dMedia","baller_status28",-1
"8048",8048,"18dMedia","itswizdom__",-1
"189",189,"18kruti","_MiteshPatel",1
"191",191,"18vikaram","_MiteshPatel",1
"193",193,"19_vikash","_MiteshPatel",1
"195",195,"1901anupam","gauravcsawant",1
"197",197,"1901anupam","ModiBharosa",1
"199",199,"1985jay","shilpakannan",1
"201",201,"1986anilshukla","gauravcsawant",1
"1160",1160,"1997INDIAN","ajtnegi",-1
"203",203,"19sbs","HumorMinistry",1
"205",205,"1azharqureshi","DrKumarVishwas",1
"207",207,"1businessrule","hi_paresh",1
"209",209,"1dharmma","rahulroushan",1
"211",211,"1karnareddy","SanklechaD",1
"213",213,"1karnareddy","ShefVaidya",1
"215",215,"1lbz1","morphonios",1
"217",217,"1ojas","_MiteshPatel",1
"262",262,"1Patelzuber","3a6a51b16534495",-1
"1006",1006,"1Patelzuber","afzalkhaniyc",-1
"1718",1718,"1Patelzuber","anchanlata",-1
"1932",1932,"1Patelzuber","annu_philip",-1
"2366",2366,"1Patelzuber","ashfaque156",-1
"4762",4762,"1Patelzuber","delhiite_ggn",-1
"5828",5828,"1Patelzuber","farahishabina",-1
"5978",5978,"1Patelzuber","furkansayed1",-1
"6418",6418,"1Patelzuber","gops333",-1
"7120",7120,"1Patelzuber","husainghw",-1
"10334",10334,"1Patelzuber","manish_manisja",-1
"10896",10896,"1Patelzuber","mikedesai",-1
"10932",10932,"1Patelzuber","mintyghost",-1
"12894",12894,"1Patelzuber","patelsarfaraz68",-1
"13220",13220,"1Patelzuber","prabhakarup1",-1
"14914",14914,"1Patelzuber","richasharma0971",-1
"15442",15442,"1Patelzuber","sabnis_atmaram",-1
"15706",15706,"1Patelzuber","sameer470",-1
"16454",16454,"1Patelzuber","shabrawmk1",-1
"16974",16974,"1Patelzuber","shyamlalaggarw1",-1
"18388",18388,"1Patelzuber","tanim0104",-1
"20640",20640,"1Patelzuber","zuber2712",-1
"219",219,"1shaktiman","YesIamSaffron",1
"221",221,"1sunnyelias","RNTata2000",1
"223",223,"2020katy2020","UrjitPatelRBI",1
"225",225,"2023ajith","ashu3page",1
"227",227,"2023ajith","Hemant_80",1
"229",229,"2023ajith","Joydas",1
"231",231,"2181viral","PiyushGoyalOffc",1
"233",233,"21century_kant","URautelaForever",1
"235",235,"250praveen","rahulroushan",1
"237",237,"250praveen","RitikaSpeaks",1
"239",239,"26arnavsagar","thaneinfo",1
"241",241,"27a41de2a89b454","rssurjewala",1
"243",243,"27a41de2a89b454","ShashiTharoor",1
"245",245,"27amit","barbarindian",1
"247",247,"2ankitparmar","5Forty3",1
"249",249,"2coldcoronas","Timcast",1
"251",251,"30vineet","ashu3page",1
"253",253,"3101gp","centerofright",1
"255",255,"311mg","gauravcsawant",1
"257",257,"34a5912609794c8","ModiBharosa",1
"259",259,"38jalpa","_MiteshPatel",1
"261",261,"3a6a51b16534495","1Patelzuber",1
"263",263,"3idiotsj","URautelaForever",1
"265",265,"3tweetsis1poem","Bhartiya_Invest",1
"267",267,"4_everabhi","ModiBharosa",1
"269",269,"42pi","5Forty3",1
"271",271,"44ashish33","sri50",1
"273",273,"454rock","AKOUL4774",1
"275",275,"4bhi9","5Forty3",1
"277",277,"4bhi9","AskAnshul",1
"279",279,"4bhi9","muglikar_",1
"281",281,"4bhi9","rahulroushan",1
"283",283,"4h_treyu","BajajAllianzLIC",1
"11590",11590,"4mlvodka","n1rajkumar",-1
"285",285,"4mypeers","JustinSandefur",1
"287",287,"4ngeezy__","BajajAllianzLIC",1
"289",289,"4ushashishekhar","DipendraDipzo",1
"291",291,"4ushashishekhar","ippatel",1
"293",293,"4ushashishekhar","Punitspeaks",1
"295",295,"500urvashi","_MiteshPatel",1
"297",297,"500urvashi","AAPVind",1
"299",299,"500urvashi","jamewils",1
"301",301,"500urvashi","kamaaaa6",1
"303",303,"5500bhupi","ModiBharosa",1
"1218",1218,"56perumal","akg316arvind",-1
"305",305,"56perumal","centerofright",1
"307",307,"56perumal","Joydeep_911",1
"309",309,"56perumal","kanimozhi",1
"311",311,"56perumal","ModiBharosa",1
"313",313,"59_moss","SimonDixonTwitt",1
"315",315,"593dbc0a0b54405","AskAnshul",1
"22",22,"5Forty3","_ashim__",-1
"46",46,"5Forty3","_flamboyant_",-1
"108",108,"5Forty3","_sayta",-1
"154",154,"5Forty3","0807ankit",-1
"248",248,"5Forty3","2ankitparmar",-1
"270",270,"5Forty3","42pi",-1
"276",276,"5Forty3","4bhi9",-1
"386",386,"5Forty3","a31x64vijay",-1
"694",694,"5Forty3","abhi_cali",-1
"792",792,"5Forty3","abhishe26342097",-1
"904",904,"5Forty3","acmatixjoshi",-1
"940",940,"5Forty3","aditya5bahl",-1
"1030",1030,"5Forty3","aggarwaltc",-1
"1130",1130,"5Forty3","ajeetj_20",-1
"1216",1216,"5Forty3","akbaripa72",-1
"1230",1230,"5Forty3","akhaip",-1
"1444",1444,"5Forty3","amaradma",-1
"1512",1512,"5Forty3","amitamisra",-1
"1626",1626,"5Forty3","amrishguru",-1
"1632",1632,"5Forty3","amritrajp",-1
"1646",1646,"5Forty3","an___d",-1
"1940",1940,"5Forty3","anondomotth",-1
"1946",1946,"5Forty3","anoopmenon9",-1
"1976",1976,"5Forty3","anshurathore99",-1
"1998",1998,"5Forty3","anunayiitb",-1
"2102",2102,"5Forty3","aravndkr",-1
"2182",2182,"5Forty3","arorasid",-1
"2230",2230,"5Forty3","arunabh_ch",-1
"2264",2264,"5Forty3","arunlinux",-1
"2296",2296,"5Forty3","arvind_barmer",-1
"2416",2416,"5Forty3","ashishvr1",-1
"2628",2628,"5Forty3","atulmohan2",-1
"2670",2670,"5Forty3","avi_saxena",-1
"2734",2734,"5Forty3","ayamatmabrahm",-1
"2776",2776,"5Forty3","azuitshi",-1
"2862",2862,"5Forty3","balabr",-1
"2880",2880,"5Forty3","balamenon",-1
"2994",2994,"5Forty3","basuhan9",-1
"3018",3018,"5Forty3","bdash88",-1
"3022",3022,"5Forty3","bdonovan463",-1
"3034",3034,"5Forty3","bedantadutta5",-1
"3092",3092,"5Forty3","beingkdr",-1
"3166",3166,"5Forty3","berrymiraculous",-1
"3268",3268,"5Forty3","bharatpatel555",-1
"3280",3280,"5Forty3","bhartiyalist",-1
"3296",3296,"5Forty3","bhavadasnkm",-1
"3304",3304,"5Forty3","bhavesh_ambekar",-1
"3376",3376,"5Forty3","bigmouthspeaks",-1
"3398",3398,"5Forty3","bijunair20",-1
"3532",3532,"5Forty3","blackpantherui",-1
"3540",3540,"5Forty3","bleedsaffron_",-1
"3616",3616,"5Forty3","bonhomy",-1
"3952",3952,"5Forty3","chandan29071985",-1
"4068",4068,"5Forty3","chilkoti2",-1
"4150",4150,"5Forty3","chweeneytodd",-1
"4632",4632,"5Forty3","debdip00",-1
"4766",4766,"5Forty3","delhimuse",-1
"4804",4804,"5Forty3","desh_bhkt",-1
"4810",4810,"5Forty3","deshneeti",-1
"4850",4850,"5Forty3","desitechy",-1
"4854",4854,"5Forty3","deus_ex_demo",-1
"4858",4858,"5Forty3","dev_cmehta",-1
"4934",4934,"5Forty3","dhanuka_vikas",-1
"5022",5022,"5Forty3","dhruvbhim",-1
"5250",5250,"5Forty3","djgoodlook",-1
"5364",5364,"5Forty3","dravarma",-1
"5480",5480,"5Forty3","drsreerajvs",-1
"6060",6060,"5Forty3","ganapathyi",-1
"6138",6138,"5Forty3","gauravsuman2",-1
"6168",6168,"5Forty3","gdchh",-1
"6214",6214,"5Forty3","getridofdevils",-1
"6234",6234,"5Forty3","ghosh121",-1
"6302",6302,"5Forty3","gj12ankit",-1
"6332",6332,"5Forty3","go2sreenu",-1
"6630",6630,"5Forty3","gyanmarao",-1
"6734",6734,"5Forty3","harishkrcr",-1
"6740",6740,"5Forty3","harisinhbarad",-1
"6744",6744,"5Forty3","hariyanekachora",-1
"7198",7198,"5Forty3","iajkp",-1
"7360",7360,"5Forty3","iashvinsavaliya",-1
"7536",7536,"5Forty3","imanishj",-1
"7592",7592,"5Forty3","immihir_45",-1
"7682",7682,"5Forty3","india_somnath",-1
"7716",7716,"5Forty3","indianempire",-1
"7724",7724,"5Forty3","indianmonk1",-1
"7776",7776,"5Forty3","indomitablesoul",-1
"7866",7866,"5Forty3","ipratikshukla",-1
"8086",8086,"5Forty3","iyernbk",-1
"8162",8162,"5Forty3","jaidevjamwal",-1
"8190",8190,"5Forty3","jainamit81",-1
"8368",8368,"5Forty3","jaymin_37",-1
"8814",8814,"5Forty3","kaliahimanshu",-1
"8862",8862,"5Forty3","kamleshlahoti",-1
"8922",8922,"5Forty3","kapilnaren",-1
"8948",8948,"5Forty3","karanrajan",-1
"8968",8968,"5Forty3","karthiks_india",-1
"9052",9052,"5Forty3","kaushkrahul",-1
"9328",9328,"5Forty3","kishoreggk",-1
"9408",9408,"5Forty3","koolso",-1
"9426",9426,"5Forty3","koustubh1",-1
"9448",9448,"5Forty3","krbajithkumar",-1
"9522",9522,"5Forty3","kristanjore",-1
"9754",9754,"5Forty3","lalithkris",-1
"9764",9764,"5Forty3","lalithseetharam",-1
"9790",9790,"5Forty3","lamestest",-1
"9804",9804,"5Forty3","lastbench_",-1
"9878",9878,"5Forty3","librarulz",-1
"9952",9952,"5Forty3","lokkku",-1
"9994",9994,"5Forty3","ls2008",-1
"10088",10088,"5Forty3","madhav9nath1",-1
"10138",10138,"5Forty3","mahanteshneel",-1
"10152",10152,"5Forty3","mahendrachjoshi",-1
"10218",10218,"5Forty3","malapatiraja",-1
"10278",10278,"5Forty3","mandarsawant184",-1
"10294",10294,"5Forty3","manesha76",-1
"10544",10544,"5Forty3","maruharish",-1
"10594",10594,"5Forty3","mavericklg",-1
"10748",10748,"5Forty3","meetrosh1",-1
"10780",10780,"5Forty3","mehul_2506",-1
"10884",10884,"5Forty3","mihirkjha",-1
"10886",10886,"5Forty3","mihirmurthy",-1
"10998",10998,"5Forty3","mjayex",-1
"11114",11114,"5Forty3","modinaama",-1
"11212",11212,"5Forty3","monk_razr",-1
"11308",11308,"5Forty3","mriganka_t",-1
"11372",11372,"5Forty3","mshravank",-1
"11448",11448,"5Forty3","muki_jain",-1
"11548",11548,"5Forty3","mylovenamo",-1
"11704",11704,"5Forty3","namorulzz",-1
"11740",11740,"5Forty3","nanjeesha",-1
"11766",11766,"5Forty3","narendramodirss",-1
"11782",11782,"5Forty3","nareshdixit82",-1
"11824",11824,"5Forty3","nationalist1907",-1
"11832",11832,"5Forty3","nava_hindutva",-1
"11952",11952,"5Forty3","ndsolanki",-1
"11966",11966,"5Forty3","neelang_dave",-1
"12226",12226,"5Forty3","nischelbaxi",-1
"12250",12250,"5Forty3","nishantktr",-1
"12288",12288,"5Forty3","nitin_dembla",-1
"12306",12306,"5Forty3","nitinkapoor2020",-1
"12450",12450,"5Forty3","nshroff",-1
"12456",12456,"5Forty3","ntsocool1",-1
"12482",12482,"5Forty3","nzsuresh",-1
"12598",12598,"5Forty3","orgaquiq",-1
"12814",12814,"5Forty3","parantapaa",-1
"12878",12878,"5Forty3","patange_sunil",-1
"12908",12908,"5Forty3","patnaikt",-1
"13110",13110,"5Forty3","pkunk_",-1
"13136",13136,"5Forty3","point_blanc79",-1
"13516",13516,"5Forty3","pravbk100",-1
"13622",13622,"5Forty3","pritesh_kukadia",-1
"13838",13838,"5Forty3","r_bhambri",-1
"13864",13864,"5Forty3","racervin",-1
"14146",14146,"5Forty3","rajeevdash",-1
"14268",14268,"5Forty3","rajneesh_saini",-1
"14378",14378,"5Forty3","ramanmehta77",-1
"14450",14450,"5Forty3","ramrenuv",-1
"14492",14492,"5Forty3","raneeshramakris",-1
"14594",14594,"5Forty3","ratnanihitesh",-1
"14632",14632,"5Forty3","ravichilakala",-1
"14686",14686,"5Forty3","raviteja4uuu",-1
"14690",14690,"5Forty3","ravsd88",-1
"14750",14750,"5Forty3","rdx_ravindra",-1
"14798",14798,"5Forty3","rebelious230",-1
"14872",14872,"5Forty3","retweetkrengeab",-1
"14956",14956,"5Forty3","rishabh_arya95",-1
"14970",14970,"5Forty3","rishi_sri_29",-1
"15072",15072,"5Forty3","rmadhavan91",-1
"15078",15078,"5Forty3","rmdrao",-1
"15098",15098,"5Forty3","robinvarshney",-1
"15138",15138,"5Forty3","rohitagarwal86",-1
"15260",15260,"5Forty3","rrkchand",-1
"15302",15302,"5Forty3","rsrirams",-1
"15310",15310,"5Forty3","rsvasudevan",-1
"15506",15506,"5Forty3","sadhuvaad",-1
"15618",15618,"5Forty3","saiprasadreddyd",-1
"15924",15924,"5Forty3","sanil_manaktala",-1
"15940",15940,"5Forty3","sanjay_rai",-1
"15946",15946,"5Forty3","sanjay3356",-1
"16010",16010,"5Forty3","sanju859",-1
"16052",16052,"5Forty3","santoshiitbhu",-1
"16220",16220,"5Forty3","saumitra_j",-1
"16250",16250,"5Forty3","savitha_rao",-1
"16558",16558,"5Forty3","shaleenjain5",-1
"16574",16574,"5Forty3","shamil_shah",-1
"16708",16708,"5Forty3","shekar21",-1
"16950",16950,"5Forty3","shuddhadesi",-1
"17038",17038,"5Forty3","silentkill_004",-1
"17124",17124,"5Forty3","singpraveer",-1
"17232",17232,"5Forty3","smarty_in",-1
"17428",17428,"5Forty3","soodmonk",-1
"17988",17988,"5Forty3","sumitbajoria",-1
"18022",18022,"5Forty3","sundeepkpal",-1
"18126",18126,"5Forty3","supremeharish",-1
"18164",18164,"5Forty3","surendaradla",-1
"18278",18278,"5Forty3","swapniljagdale8",-1
"18384",18384,"5Forty3","tandon_abhinav",-1
"18534",18534,"5Forty3","thakurprashanth",-1
"18750",18750,"5Forty3","thiru_0914",-1
"18830",18830,"5Forty3","tishtriya",-1
"18870",18870,"5Forty3","tolerantdesii",-1
"19046",19046,"5Forty3","tulasidasrpai",-1
"19134",19134,"5Forty3","udaybjplotus",-1
"19152",19152,"5Forty3","udyan123",-1
"19240",19240,"5Forty3","urfriendroshan",-1
"19308",19308,"5Forty3","vaayumitra",-1
"19324",19324,"5Forty3","vaibhavg10",-1
"19368",19368,"5Forty3","vanderlust",-1
"19392",19392,"5Forty3","vardanatulshah",-1
"19458",19458,"5Forty3","vbnairmumbai",-1
"19576",19576,"5Forty3","vibhaas10",-1
"19586",19586,"5Forty3","vibhute_atharv",-1
"19880",19880,"5Forty3","vinodshadija",-1
"19916",19916,"5Forty3","vipulit",-1
"19970",19970,"5Forty3","virus4congress",-1
"20160",20160,"5Forty3","votenowindia",-1
"20288",20288,"5Forty3","whostruthanyway",-1
"20372",20372,"5Forty3","yaajushi",-1
"317",317,"5xnewx","MilanV",1
"20354",20354,"616476fbde873af","xglgu5obsw9j6xe",-1
"319",319,"68755f3377a8469","gauravcsawant",1
"321",321,"69b1b71236104d6","pGurus1",1
"323",323,"69bpl69","gauravcsawant",1
"325",325,"6b15055656184ea","rssurjewala",1
"327",327,"6b9574b803c1480","URautelaForever",1
"329",329,"6c20cdd298174c7","DrKumarVishwas",1
"331",331,"6d91f0b718ad479","ShirishKunder",1
"333",333,"6feac377b097423","URautelaForever",1
"335",335,"7374v","centerofright",1
"337",337,"76cffefa5a1c4e2","ModiBharosa",1
"339",339,"7ramreddy7ram","Ra_THORe",1
"341",341,"81_jignesh","_MiteshPatel",1
"343",343,"8177sonali","priyaakulkarni2",1
"345",345,"85_ritika","AdityaNair20",1
"347",347,"87_bansari","_MiteshPatel",1
"349",349,"870f4906f95f4d8","pGurus1",1
"351",351,"881977raju","ModiBharosa",1
"353",353,"8dilip","Atheist_Krishna",1
"355",355,"8dssoni","ModiBharosa",1
"357",357,"92165rahul","kanimozhi",1
"359",359,"943c39bb70b245e","ModiBharosa",1
"361",361,"9447653359","kanimozhi",1
"363",363,"97b63c4d534546d","KyaKaise",1
"365",365,"9845439969karan","ippatel",1
"367",367,"9auravk","URautelaForever",1
"369",369,"9u9gcg69l7kuu4k","DrGPradhan",1
"371",371,"9urusin9h","RoflGandhi_",1
"373",373,"a_barrera84","steve_hanke",1
"375",375,"a_hannan_ismail","SimonDixonTwitt",1
"377",377,"a_miglani","vbeachcomber",1
"3224",3224,"A_Observr","bharat_builder",-1
"4368",4368,"A_Observr","cpsingh_punjab",-1
"379",379,"a_p_75","Joydeep_911",1
"381",381,"a_sex_god","Timcast",1
"383",383,"a09ea2180ded422","gauravcsawant",1
"385",385,"a31x64vijay","5Forty3",1
"387",387,"a31x64vijay","pGurus1",1
"389",389,"a31x64vijay","SreeIyer1",1
"391",391,"a799612","gauravcsawant",1
"26",26,"aaanupriyaaa","_beinggaurav",-1
"28",28,"aaanupriyaaa","_bishal20_",-1
"148",148,"aaanupriyaaa","05apuuuuu",-1
"482",482,"aaanupriyaaa","aapabbidi",-1
"764",764,"aaanupriyaaa","abhinav5349",-1
"930",930,"aaanupriyaaa","adithgm",-1
"1986",1986,"aaanupriyaaa","antiboringagent",-1
"2150",2150,"aaanupriyaaa","aristidebancevu",-1
"2528",2528,"aaanupriyaaa","asmanksharma",-1
"3174",3174,"aaanupriyaaa","besties_buddy",-1
"3632",3632,"aaanupriyaaa","botbyrop",-1
"3638",3638,"aaanupriyaaa","botsaucin",-1
"3818",3818,"aaanupriyaaa","caarte_blanche",-1
"4748",4748,"aaanupriyaaa","definitwa1708",-1
"4864",4864,"aaanupriyaaa","devanganas3",-1
"5236",5236,"aaanupriyaaa","divyaszaika",-1
"5412",5412,"aaanupriyaaa","drkhushisharma",-1
"5556",5556,"aaanupriyaaa","duggu129",-1
"5590",5590,"aaanupriyaaa","dvital_",-1
"5592",5592,"aaanupriyaaa","dvkikh",-1
"5724",5724,"aaanupriyaaa","endofabhishek",-1
"6006",6006,"aaanupriyaaa","g_rohit19",-1
"6094",6094,"aaanupriyaaa","gargtarun1987",-1
"6962",6962,"aaanupriyaaa","himanshudixit01",-1
"7488",7488,"aaanupriyaaa","ikumar7",-1
"7610",7610,"aaanupriyaaa","imrahul_17",-1
"7648",7648,"aaanupriyaaa","imtarun1d",-1
"7880",7880,"aaanupriyaaa","iqbalintouch",-1
"7932",7932,"aaanupriyaaa","isatchit",-1
"8156",8156,"aaanupriyaaa","jaibhadra",-1
"8250",8250,"aaanupriyaaa","janagal_pooja",-1
"8276",8276,"aaanupriyaaa","jarvaruag",-1
"8510",8510,"aaanupriyaaa","jineshjain12",-1
"9088",9088,"aaanupriyaaa","kedari_rutuja",-1
"9552",9552,"aaanupriyaaa","krutik126",-1
"9880",9880,"aaanupriyaaa","lievantamillar",-1
"10432",10432,"aaanupriyaaa","manoharsingha",-1
"10704",10704,"aaanupriyaaa","me_arpank",-1
"10892",10892,"aaanupriyaaa","miister_h",-1
"11558",11558,"aaanupriyaaa","mynkkumar",-1
"11566",11566,"aaanupriyaaa","myselfpradeep_",-1
"11706",11706,"aaanupriyaaa","namratawrites",-1
"12104",12104,"aaanupriyaaa","nikhil2612",-1
"12292",12292,"aaanupriyaaa","nitin15500441",-1
"12320",12320,"aaanupriyaaa","nitintomarr",-1
"12334",12334,"aaanupriyaaa","nivalex28",-1
